北新仓胡同5号楼, 东直门南小街16附近, 商务住宅;住宅区;住宅区, 116.421246,39.938824, 116.427474,39.940215, 116.433942,39.946255
南门仓社区, 仓南胡同, 商务住宅;住宅区;住宅小区, 116.420999,39.924794, 116.427226,39.926185, 116.433690,39.932229
南门仓胡同东口, 东城区, 地名地址信息;交通地名;路口名, 116.427806,39.928139, 116.434022,39.929522, 116.440528,39.935442
北门仓胡同11号楼, 南颂年胡同附近, 商务住宅;住宅区;住宅区, 116.420626,39.933419, 116.426855,39.934811, 116.433317,39.940862
南门仓胡同4号楼, 仓南胡同甲5附近, 商务住宅;住宅区;住宅区, 116.422543,39.927211, 116.428768,39.928601, 116.435241,39.934617
南新仓商务大厦停车场, 东四十条甲22号, 交通设施服务;停车场;公共停车场, 116.424134,39.931757, 116.430357,39.933145, 116.436841,39.939132
北门仓胡同9号楼, 南颂年胡同附近, 商务住宅;住宅区;住宅区, 116.421515,39.933450, 116.427742,39.934841, 116.434210,39.940876
仓南胡同12号楼, 仓南胡同12附近, 商务住宅;住宅区;住宅区, 116.423821,39.925694, 116.430044,39.927082, 116.436526,39.933075
仓夹道9号楼, 海运仓仓夹道7号附近, 商务住宅;住宅区;住宅区, 116.425304,39.933392, 116.431525,39.934778, 116.438016,39.940744
南门仓社区居委会, 罗家大院1号, 政府机构及社会团体;政府机关;乡镇以下级政府及事业单位, 116.424600,39.927371, 116.430822,39.928758, 116.437308,39.934736
东门仓教工宿舍, 东门仓胡同5-3附近, 商务住宅;住宅区;宿舍, 116.425259,39.929785, 116.431480,39.931171, 116.437970,39.937137
东门仓5号院2号楼, 东门仓胡同5-3附近, 商务住宅;住宅区;住宅区, 116.425403,39.929252, 116.431624,39.930638, 116.438115,39.936602
东门仓5号院3号楼, 东门仓胡同5附近, 商务住宅;住宅区;住宅区, 116.425426,39.928969, 116.431646,39.930355, 116.438137,39.936318
新太仓横街, 东城区, 地名地址信息;地名地址信息;地名地址信息, 116.415294,39.935853, 116.421530,39.937250, 116.427961,39.943394
北新仓胡同3号楼, 东直门内大街39附近, 商务住宅;住宅区;住宅区, 116.422532,39.938827, 116.428758,39.940217, 116.435234,39.946234
北京市东城区北门仓小学, 北门仓胡同77号, 科教文化服务;学校;小学, 116.425322,39.934994, 116.431543,39.936380, 116.438035,39.942346
宝钞仓库, 宝钞胡同10, 体育休闲服务;娱乐场所;酒吧, 116.393295,39.946402, 116.399544,39.947807, 116.405913,39.954152
南门仓胡同西口, 东城区, 地名地址信息;交通地名;路口名, 116.419762,39.927854, 116.425991,39.929247, 116.432447,39.935313
东门仓教工宿舍(东门), 东门仓胡同甲3附近, 商务住宅;住宅区;宿舍, 116.425621,39.929907, 116.431841,39.931293, 116.438334,39.937253
南门仓胡同8号楼, 南门仓胡同附近, 商务住宅;住宅区;住宅区, 116.421607,39.927062, 116.427833,39.928453, 116.434301,39.934486
仓廪食台湾餐厅, 灯市东口50号, 餐饮服务;中餐厅;中餐厅, 116.412138,39.911622, 116.418374,39.913021, 116.424794,39.919217
东门仓5号院1号楼, 东门仓胡同5-3附近, 商务住宅;住宅区;住宅区, 116.425247,39.929512, 116.431468,39.930898, 116.437958,39.936865
海运仓胡同西口, 东城区, 地名地址信息;交通地名;路口名, 116.419571,39.935058, 116.425801,39.936451, 116.432257,39.942521
仓夹道7号楼, 海运仓仓夹道7号附近, 商务住宅;住宅区;住宅区, 116.425292,39.933779, 116.431513,39.935165, 116.438004,39.941131
仓南胡同11号楼, 仓南胡同4附近, 商务住宅;住宅区;住宅区, 116.421456,39.926409, 116.427682,39.927800, 116.434149,39.933836
北京南新仓商贸有限公司, 东四十条21号南新仓大厦, 公司企业;公司;商业贸易, 116.424877,39.932890, 116.431099,39.934277, 116.437587,39.940251
仓南胡同7号楼, 朝内大街75号佳龙阳光酒店(分店)附近, 商务住宅;住宅区;住宅区, 116.424220,39.925260, 116.430442,39.926647, 116.436926,39.932633
仓南胡同8号楼, 朝内大街75号佳龙阳光酒店(分店)附近, 商务住宅;住宅区;住宅区, 116.424269,39.925496, 116.430491,39.926883, 116.436975,39.932868
新太仓胡同麻辣烫, 新太仓胡同(新太仓宾馆旁), 餐饮服务;中餐厅;中餐厅, 116.414998,39.937864, 116.421234,39.939262, 116.427664,39.945411
瀚海海运仓大厦停车场, 海运仓胡同1号, 交通设施服务;停车场;公共停车场, 116.425099,39.935841, 116.431321,39.937228, 116.437812,39.943198
仓南胡同13号楼, 仓南胡同附近, 商务住宅;住宅区;住宅区, 116.421052,39.926768, 116.427279,39.928159, 116.433743,39.934202
东城区海运仓社区卫生服务站, 三环以内, 医疗保健服务;综合医院;卫生院, 116.422558,39.934081, 116.428784,39.935471, 116.435258,39.941487
新太仓清洁站, 北新桥, 生活服务;生活服务场所;生活服务场所, 116.414932,39.938777, 116.421169,39.940175, 116.427599,39.946325
南新仓壹号 贵宾汇, 东四十条22号, 体育休闲服务;娱乐场所;娱乐场所, 116.425376,39.931947, 116.431597,39.933333, 116.438088,39.939297
北门仓胡同7号楼, 南颂年胡同附近, 商务住宅;住宅区;住宅区, 116.422441,39.933440, 116.428667,39.934830, 116.435140,39.940848
南新仓大厦停车场, 东四十条21号, 交通设施服务;停车场;公共停车场, 116.424903,39.932631, 116.431125,39.934018, 116.437614,39.939991
北新仓社区居委会, 东直门内大街10-11附近, 政府机构及社会团体;政府机关;乡镇以下级政府及事业单位, 116.422389,39.939352, 116.428616,39.940742, 116.435091,39.946762
仓夹道北口, 东城区, 地名地址信息;交通地名;路口名, 116.425419,39.939630, 116.431641,39.941017, 116.438135,39.946982
北门仓胡同5号楼, 南颂年胡同和扁旦胡同的交叉口附近, 商务住宅;住宅区;住宅区, 116.423114,39.933605, 116.429339,39.934994, 116.435817,39.941000
东门仓5号院4号楼, 东门仓胡同5-3附近, 商务住宅;住宅区;住宅区, 116.425042,39.929251, 116.431263,39.930638, 116.437752,39.936608
北门仓胡同3号楼, 北门仓胡同3附近, 商务住宅;住宅区;住宅区, 116.423680,39.933333, 116.429904,39.934721, 116.436385,39.940716
北京海运仓康体中心台球沙龙, 东直门内南小街20-6, 体育休闲服务;运动场馆;台球厅, 116.419967,39.933232, 116.426197,39.934625, 116.432655,39.940688
南门仓胡同6号楼, 南门仓胡同6-4附近, 商务住宅;住宅区;住宅区, 116.420949,39.927741, 116.427176,39.929132, 116.433639,39.935177
海运仓胡同8号楼, 海运仓胡同附近, 商务住宅;住宅区;住宅区, 116.422365,39.934807, 116.428591,39.936197, 116.435064,39.942217
仓南胡同与福夹道交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.424452,39.926042, 116.430674,39.927429, 116.437159,39.933410
新太仓胡同与横街交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.415278,39.935855, 116.421514,39.937252, 116.427945,39.943396
东四十条与仓夹道交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425667,39.932398, 116.431887,39.933784, 116.438380,39.939743
海运仓胡同10号楼, 海运仓胡同附近, 商务住宅;住宅区;住宅区, 116.421512,39.934777, 116.427739,39.936168, 116.434207,39.942203
海运仓胡同6号楼, 东颂年胡同附近, 商务住宅;住宅区;住宅区, 116.423340,39.934799, 116.429565,39.936188, 116.436044,39.942190
禄米仓胡同42号院, 禄米仓胡同42号, 商务住宅;住宅区;住宅区, 116.421024,39.915569, 116.427250,39.916960, 116.433718,39.923005
禄米仓胡同42号楼, 禄米仓胡同73附近, 商务住宅;住宅区;住宅区, 116.421695,39.915617, 116.427920,39.917007, 116.434392,39.923040
海运仓胡同12号楼, 海运仓胡同附近, 商务住宅;住宅区;住宅区, 116.420600,39.934725, 116.426829,39.936117, 116.433291,39.942169
东门仓甲3号楼, 东门仓胡同甲3附近, 商务住宅;住宅区;住宅区, 116.425418,39.929861, 116.431639,39.931247, 116.438130,39.937211
南门仓胡同便民菜市场, 南门仓胡同, 购物服务;综合市场;农副产品市场, 116.424599,39.927834, 116.430821,39.929221, 116.437307,39.935200
南新仓大厦(南一门), 东四十条21号, 商务住宅;楼宇;商务写字楼, 116.424524,39.932509, 116.430746,39.933896, 116.437232,39.939876
南门仓社区北门, 朝阳门北小街8-2附近, 商务住宅;住宅区;住宅区, 116.420773,39.926105, 116.427000,39.927497, 116.433463,39.933545
仓南北巷与仓南胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.422803,39.926209, 116.429027,39.927598, 116.435502,39.933609
仓夹道与北门仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425617,39.933143, 116.431838,39.934529, 116.438331,39.940489
东颂年胡同与仓夹道交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425518,39.934393, 116.431739,39.935779, 116.438232,39.941741
仓夹道与海运仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425530,39.935222, 116.431751,39.936608, 116.438244,39.942570
仓夹道与北新仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425350,39.938636, 116.431572,39.940023, 116.438065,39.945989
北京雅宝仓食品店, 金宝街9号, 购物服务;便民商店/便利店;便民商店/便利店, 116.424905,39.914394, 116.431124,39.915780, 116.437617,39.921755
鑫振京建材仓库, 宝钞63号, 购物服务;家居建材市场;建材五金市场, 116.393490,39.943184, 116.399738,39.944589, 116.406105,39.950933
北新仓胡同东口, 东城区, 地名地址信息;交通地名;路口名, 116.425385,39.938636, 116.431607,39.940023, 116.438101,39.945988
仓南胡同口, 东城区, 地名地址信息;交通地名;路口名, 116.425798,39.926083, 116.432017,39.927468, 116.438511,39.933425
海运仓南里一区2号楼, 海运仓南里一区2, 地名地址信息;门牌信息;小区门牌, 116.423950,39.933595, 116.430174,39.934983, 116.436657,39.940974
武学胡同与禄米仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425477,39.915697, 116.431696,39.917082, 116.438192,39.923046
武学胡同与禄米仓后巷交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.424160,39.917283, 116.430381,39.918670, 116.436868,39.924658
武学胡同与禄米仓东巷交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.424160,39.917283, 116.430381,39.918670, 116.436868,39.924658
东直门内北新仓18号楼, 北新仓胡同附近, 商务住宅;住宅区;住宅区, 116.422371,39.938513, 116.428598,39.939903, 116.435073,39.945923
仓南北巷与南门仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.422716,39.927933, 116.428941,39.929322, 116.435415,39.935335
桃条胡同与白米仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.405792,39.935098, 116.412036,39.936501, 116.418421,39.942777
北剪子巷与白米仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.405792,39.935098, 116.412036,39.936501, 116.418421,39.942777
东四十四条与西仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.413233,39.935788, 116.419471,39.937187, 116.425891,39.943364
板桥胡同与西仓门胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.412373,39.937051, 116.418612,39.938451, 116.425028,39.944641
新太仓胡同与罗车胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.415220,39.936200, 116.421456,39.937597, 116.427887,39.943742
西仓胡同与西仓门胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.412802,39.937063, 116.419041,39.938462, 116.425459,39.944646
东四十条与东门仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425796,39.932254, 116.432016,39.933640, 116.438510,39.939597
新太仓二巷与罗车胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.416314,39.937320, 116.422549,39.938716, 116.428986,39.944843
大菊胡同与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.414986,39.938855, 116.421223,39.940253, 116.427654,39.946402
新太仓胡同与石雀胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.414986,39.938855, 116.421223,39.940253, 116.427654,39.946402
东直门内大街与仓夹道交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425384,39.939629, 116.431606,39.941016, 116.438100,39.946981
仓南胡同10号楼, 朝内大街75号佳龙阳光酒店(分店)附近, 商务住宅;住宅区;住宅区, 116.423834,39.925321, 116.430057,39.926709, 116.436539,39.932702
藤仓贸易公司北京分公司, 朝阳门北大街6号首创大厦8层807室, 公司企业;公司企业;公司企业, 116.429617,39.930495, 116.435830,39.931875, 116.442347,39.937764
北京新太仓山西面食馆, 东四十四条, 餐饮服务;中餐厅;中餐厅, 116.415141,39.936323, 116.421377,39.937720, 116.427807,39.943866
东门仓胡同北口, 东城区, 地名地址信息;交通地名;路口名, 116.425762,39.932254, 116.431982,39.933640, 116.438476,39.939597
禄米仓东巷与禄米仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.424197,39.915705, 116.430418,39.917092, 116.436906,39.923079
禄米仓东巷与禄米仓后巷交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.424160,39.917283, 116.430381,39.918670, 116.436868,39.924658
小牌坊胡同与禄米仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.426741,39.915712, 116.432957,39.917096, 116.439461,39.923037
仓南胡同与朝阳门北小街交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.419997,39.926175, 116.426226,39.927567, 116.432684,39.933629
仓南胡同与南弓匠营胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.421857,39.926200, 116.428083,39.927590, 116.434552,39.933619
新太仓一巷, 东城 东直门新太仓一巷, 商务住宅;住宅区;住宅小区, 116.416036,39.938634, 116.422271,39.940031, 116.428707,39.946163
仓南胡同与朝阳门北大街交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.427904,39.926144, 116.434120,39.927527, 116.440627,39.933446
北新仓胡同, 东城 东直门北新仓胡同, 商务住宅;住宅区;住宅小区, 116.421311,39.938921, 116.427539,39.940312, 116.434007,39.946351
东门仓胡同与南门仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.425893,39.928090, 116.432113,39.929475, 116.438607,39.935430
东四北大街与白米仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.410761,39.935294, 116.417001,39.936695, 116.423408,39.942909
东四十四条与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.415278,39.935855, 116.421514,39.937252, 116.427945,39.943396
八宝坑胡同与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.415220,39.936200, 116.421456,39.937597, 116.427887,39.943742
东四十三条与海运仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.419492,39.935056, 116.425722,39.936449, 116.432178,39.942520
九道湾南巷与西仓门胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.413806,39.937341, 116.420044,39.938739, 116.426467,39.944907
九道湾南巷与新太仓二巷交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.415066,39.937332, 116.421302,39.938729, 116.427732,39.944877
新太仓二巷与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.415066,39.937332, 116.421302,39.938729, 116.427732,39.944877
九道湾南巷与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.415066,39.937332, 116.421302,39.938729, 116.427732,39.944877
新太仓一巷与新太仓二巷交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.416712,39.937603, 116.422946,39.938999, 116.429386,39.945119
九道湾北巷与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.414990,39.938303, 116.421227,39.939701, 116.427657,39.945850
北沟沿胡同与新太仓二巷交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.417659,39.937646, 116.423892,39.939041, 116.430337,39.945145
新太仓一巷与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.414989,39.938451, 116.421226,39.939849, 116.427656,39.945998
仓南胡同5号院9号楼, 朝阳门北小街南门仓胡同附近, 商务住宅;住宅区;住宅区, 116.422029,39.926794, 116.428255,39.928184, 116.434725,39.934209
南门仓社区地下停车场, 东四十条南门仓社区, 交通设施服务;停车场;专用停车场, 116.420833,39.926588, 116.427060,39.927979, 116.433523,39.934026
朝阳门南小街与禄米仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.420417,39.915689, 116.426644,39.917080, 116.433108,39.923136
南门仓胡同与朝阳门北小街交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.419681,39.927856, 116.425910,39.929249, 116.432366,39.935317
南门仓胡同与朝阳门北大街交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.427804,39.928169, 116.434020,39.929552, 116.440526,39.935473
南新仓文化休闲特色街, 东城区, 地名地址信息;地名地址信息;地名地址信息, 116.424548,39.930573, 116.430770,39.931960, 116.437256,39.937939
东直门南小街与海运仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.419661,39.935060, 116.425891,39.936453, 116.432348,39.942521
东直门内大街与新太仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.414956,39.939531, 116.421193,39.940929, 116.427624,39.947079
东直门南小街与北新仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.419555,39.938676, 116.425786,39.940069, 116.432243,39.946140
东直门南大街与海运仓胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.427502,39.935280, 116.433720,39.936664, 116.440225,39.942590
海运仓南里一区1号楼, 海运仓南里一区1, 地名地址信息;门牌信息;小区门牌, 116.424037,39.934132, 116.430260,39.935520, 116.436743,39.941509
子夫仓(恒基商城), 建国门内大街18号B2层, 购物服务;购物相关场所;购物相关场所, 116.421566,39.905941, 116.427790,39.907331, 116.434269,39.913369
仓南胡同甲12号楼, 仓南胡同12附近, 商务住宅;住宅区;住宅区, 116.423864,39.925889, 116.430087,39.927277, 116.436569,39.933269
东门仓胡同南口, 东城区, 地名地址信息;交通地名;路口名, 116.425865,39.928055, 116.432085,39.929440, 116.438579,39.935395
禄米仓胡同36号楼, 禄米仓胡同55附近, 商务住宅;住宅区;住宅区, 116.423170,39.915604, 116.429392,39.916992, 116.435873,39.922998
南门仓菜市场分店, 东四北大街259号, 购物服务;综合市场;蔬菜市场, 116.410778,39.930195, 116.417018,39.931595, 116.423424,39.937808
禄米仓西巷, 东城区, 地名地址信息;地名地址信息;地名地址信息, 116.420453,39.915679, 116.426680,39.917070, 116.433145,39.923125
北京京仓物资贸易有限公司, 安定门外大街190-192号煤机大厦3层302-303, 公司企业;公司;商业贸易, 116.402406,39.952628, 116.408654,39.954033, 116.415040,39.960345
新太仓胡同, 北新桥新太仓胡同, 商务住宅;住宅区;住宅小区, 116.414943,39.939524, 116.421180,39.940922, 116.427611,39.947072
仓南胡同西口, 东城区, 地名地址信息;交通地名;路口名, 116.419997,39.926176, 116.426226,39.927568, 116.432684,39.933630
南门仓胡同(东一门), 南门仓胡同4附近, 商务住宅;住宅区;住宅小区, 116.422456,39.927630, 116.428681,39.929020, 116.435154,39.935038
仓南北巷南口, 东城区, 地名地址信息;交通地名;路口名, 116.422803,39.926209, 116.429027,39.927598, 116.435502,39.933609
仓南胡同14号院, 东城 朝阳门内仓南胡同14号院, 商务住宅;住宅区;住宅小区, 116.423138,39.925973, 116.429362,39.927362, 116.435839,39.933367
仓南胡同12号院, 东城 朝阳门内仓南胡同12号院, 商务住宅;住宅区;住宅小区, 116.423987,39.926231, 116.430210,39.927619, 116.436693,39.933609
北京海运仓国际物业管理有限公司, 海运仓胡同1号瀚海海运仓大厦B1层, 公司企业;公司;公司, 116.424952,39.935563, 116.431174,39.936950, 116.437664,39.942922
仓南胡同14号院3号楼, 仓南胡同附近, 商务住宅;住宅区;住宅区, 116.423178,39.925239, 116.429402,39.926628, 116.435880,39.932633
北新桥街道海运仓社区文体中心, 北新桥街道, 体育休闲服务;运动场馆;运动场所, 116.422676,39.934228, 116.428902,39.935618, 116.435377,39.941632
海运仓南里一区, 东城 东直门海运仓南里一区, 商务住宅;住宅区;住宅小区, 116.424010,39.934178, 116.430233,39.935566, 116.436716,39.941556
北新仓社区停车场, 东直门内大街8-4附近, 交通设施服务;停车场;专用停车场, 116.422998,39.938942, 116.429224,39.940331, 116.435703,39.946340
北新仓社区停车场, 北新仓胡同1, 交通设施服务;停车场;专用停车场, 116.424477,39.938785, 116.430700,39.940173, 116.437188,39.946155
天宝食仓粥店, 王府井大街西辅路C4号(近四川饭店), 餐饮服务;中餐厅;中餐厅, 116.402889,39.913699, 116.409132,39.915102, 116.415512,39.921407
海运仓停车场, 南颂年胡同3号, 生活服务;生活服务场所;生活服务场所, 116.422399,39.934289, 116.428625,39.935679, 116.435098,39.941698
禄米仓胡同67号院, 东城 朝阳门内禄米仓胡同67号院, 商务住宅;住宅区;住宅小区, 116.423597,39.915904, 116.429819,39.917292, 116.436303,39.923290
融易贷金融连锁服务机构南新仓店, 东四十条甲22, 公司企业;公司企业;公司企业, 116.424397,39.931591, 116.430620,39.932978, 116.437105,39.938960
仓南胡同6号楼, 仓南胡同12附近, 商务住宅;住宅区;住宅区, 116.424266,39.925814, 116.430488,39.927201, 116.436972,39.933186
中共北新桥街道海运仓社区委员会, 南颂年胡同3, 政府机构及社会团体;政府机关;乡镇以下级政府及事业单位, 116.422419,39.934317, 116.428645,39.935707, 116.435118,39.941726
沧海新材料开发有限公司北京分公司, 安乐林路69-5号惠达商务会馆3207, 公司企业;公司;公司, 116.399611,39.864007, 116.405849,39.865409, 116.412253,39.871748
藏宝源, 西花市大街110号, 购物服务;综合市场;综合市场, 116.415509,39.895845, 116.421740,39.897240, 116.428193,39.903387
桑珠德吉餐厅, 绿景苑3号楼(黄河大酒店), 餐饮服务;中餐厅;中餐厅, 116.431184,39.887628, 116.437388,39.889004, 116.443943,39.894876
念青拉资酥油茶馆, 北池子大街95号, 餐饮服务;餐饮相关场所;餐饮相关, 116.396625,39.914030, 116.402870,39.915434, 116.409238,39.921775
喜马拉雅卓玛藏餐, 地坛北里东区1号楼喜马拉雅宾馆2楼, 餐饮服务;中餐厅;西北菜, 116.411625,39.957008, 116.417867,39.958409, 116.424294,39.964616
法藏寺, 幸福东街南端铁道西侧, 风景名胜;风景名胜;寺庙道观, 116.426115,39.880270, 116.432328,39.881653, 116.438858,39.887616
藏羊地毯, 东直门外大街42号宇飞大厦1层, 购物服务;家居建材市场;布艺市场, 116.431291,39.938925, 116.437502,39.940303, 116.444032,39.946164
十八茶膳, 南锣鼓巷板厂胡同18号, 餐饮服务;外国餐厅;日本料理, 116.400411,39.933510, 116.406657,39.934915, 116.413026,39.941237
藏真堂, 珠市口东大街6-9, 购物服务;专卖店;烟酒专卖店, 116.404792,39.891106, 116.411031,39.892508, 116.417438,39.898803
藏品汇, 南河沿大街南湾子胡同3号(天安门、贵宾楼饭店、欧美同学会), 餐饮服务;餐饮相关场所;餐饮相关, 116.398705,39.908229, 116.404949,39.909633, 116.411324,39.915967
奢香藏品, 金宝街90, 购物服务;专卖店;专营店, 116.413986,39.913912, 116.420221,39.915309, 116.426649,39.921475
藏经馆胡同, 东城区, 地名地址信息;交通地名;道路名, 116.412935,39.945868, 116.419175,39.947267, 116.425599,39.953451
藏汉屋, 国子监街2号, 购物服务;专卖店;古玩字画店, 116.410186,39.944037, 116.416428,39.945438, 116.422837,39.951661
宗喀藏医诊所, 雍和宫大街103, 医疗保健服务;诊所;诊所, 116.410273,39.943483, 116.416515,39.944884, 116.422924,39.951106
得意典藏, 大江胡同125, 购物服务;专卖店;礼品饰品店, 116.393765,39.893717, 116.400007,39.895120, 116.406392,39.901471
泰合·宝藏, 雍和宫大街181, 购物服务;购物相关场所;购物相关场所, 116.410378,39.941227, 116.416620,39.942628, 116.423028,39.948848
纳西宝藏, 王府井大街277号, 购物服务;专卖店;专营店, 116.403616,39.909898, 116.409858,39.911301, 116.416243,39.917601
中国书画收藏家协会, 东直门内北小街2, 政府机构及社会团体;社会团体;行业协会, 116.419702,39.947448, 116.425934,39.948842, 116.432398,39.954912
晶珠藏药集团, 崇文门外大街5-5号太华写字楼, 公司企业;公司;医药公司, 116.411662,39.894953, 116.417896,39.896351, 116.424329,39.902559
中国世家鉴定收藏网, 东华门大街67, 公司企业;公司;网络科技, 116.397500,39.913929, 116.403745,39.915333, 116.410114,39.921671
天堂眼西藏艺品, 甘雨胡同, 购物服务;专卖店;专营店, 116.405917,39.915470, 116.412159,39.916872, 116.418548,39.923148
瀚藏文化, 东直门内北小街2号楼, 科教文化服务;科教文化场所;科教文化场所, 116.420201,39.947221, 116.426432,39.948614, 116.432899,39.954675
中邮收藏, 安定门外大街113号, 购物服务;购物相关场所;购物相关场所, 116.401401,39.955455, 116.407650,39.956860, 116.414037,39.963181
藏珀(in88), 王府井大街88号B1层, 购物服务;专卖店;珠宝首饰工艺品, 116.405892,39.914436, 116.412133,39.915838, 116.418523,39.922114
扎西德勒藏文化, 前门大街131, 购物服务;专卖店;礼品饰品店|购物服务;专卖店;专营店, 116.391862,39.891910, 116.398104,39.893313, 116.404491,39.899663
扎西德勒藏文化, 东四北大街242, 购物服务;专卖店;专营店, 116.411183,39.930591, 116.417422,39.931991, 116.423830,39.938198
冬虫夏草藏真堂, 珠市口大街, 购物服务;综合市场;综合市场, 116.392168,39.889874, 116.398410,39.891277, 116.404799,39.897628
藏汉屋(雍和宫大街), 雍和宫大街79, 购物服务;购物相关场所;购物相关场所, 116.410267,39.943961, 116.416509,39.945362, 116.422918,39.951584
中博藏博物馆, 国子监街28-2, 科教文化服务;博物馆;博物馆, 116.407469,39.943850, 116.413713,39.945253, 116.420110,39.951511
耀宝华藏, 国子监大街甲28号, 购物服务;购物相关场所;购物相关场所, 116.405284,39.944008, 116.411530,39.945412, 116.417918,39.951695
世藏168, 磁器口东200米路北, 商务住宅;住宅区;住宅小区, 116.416123,39.891718, 116.422352,39.893113, 116.428812,39.899251
皇觅楼吴越典藏菜, 崇文门内大街2号内蒙古大厦4层, 餐饮服务;中餐厅;广东菜(粤菜), 116.412909,39.904259, 116.419143,39.905657, 116.425573,39.911843
铬藏轩(铬藏轩一店), 东直门外大街48号东方银座8楼, 科教文化服务;科教文化场所;科教文化场所, 116.429015,39.938908, 116.435230,39.940290, 116.441746,39.946190
塑唐玩具收藏(新世界店), 崇文门外大街3-5号新世界百货6楼(地铁崇文门站南), 购物服务;购物相关场所;购物相关场所, 116.411749,39.897222, 116.417984,39.898620, 116.424415,39.904826
月王藏宝(东安市场店), 王府井大街138号东安市场地下一层 (百货大楼, 购物服务;购物相关场所;购物相关场所, 116.405340,39.912175, 116.411581,39.913577, 116.417970,39.919860
西藏冬虫夏草, 东单北大街1号国旅大厦1楼(近金鱼胡同), 购物服务;综合市场;综合市场, 116.411203,39.913941, 116.417440,39.915340, 116.423853,39.921549
文房一号藏书楼(东方新天地), 东长安街1号东方广场1层GG06&07, 科教文化服务;图书馆;图书馆, 116.407985,39.908556, 116.414224,39.909957, 116.420627,39.916211
藏经阁胡同, 东城区藏经阁胡同, 商务住宅;商务住宅相关;商务住宅相关, 116.394180,39.937399, 116.400428,39.938804, 116.406791,39.945147
御玺堂藏式SPA会馆, 广渠门外大街广渠家园16号楼(广渠门桥东南侧), 生活服务;生活服务场所;生活服务场所, 116.442501,39.890564, 116.448680,39.891920, 116.455287,39.897633
塑唐玩具收藏(鼓楼东大街店), 鼓楼东大街, 购物服务;专卖店;专营店, 116.393813,39.939284, 116.400061,39.940689, 116.406425,39.947033
彤山古藏, 雍和宫大街105附近, 购物服务;购物相关场所;购物相关场所, 116.410286,39.943385, 116.416528,39.944786, 116.422937,39.951008
名典傅世收藏, 东花市大街68, 购物服务;专卖店;古玩字画店, 116.426510,39.895946, 116.432724,39.897329, 116.439244,39.903280
藏经馆胡同19号楼, 藏经馆胡同19附近, 商务住宅;住宅区;住宅区, 116.412650,39.945892, 116.418890,39.947292, 116.425312,39.953480
